Word_low,Frequency,Word_high,Frequency on High-point descriptions,Frequency on Low-point descriptions,high/low,total
forward,77,single-vineyard,142,10,14.2,152
gets,76,heady,141,10,14.1,151
stewy,76,barolo,141,10,14.1,151
popcorn,75,2019,140,10,14,150
white,687,dense,1126,81,13.90123457,1207
hint,321,layers,567,41,13.82926829,608
unbalanced,73,massive,137,10,13.7,147
delicate,92,violets,162,12,13.5,174
medicinal,158,until,294,22,13.36363636,316
both,110,soil,200,15,13.33333333,215
snappy,73,truffle,133,10,13.3,143
light-bodied,73,4,133,10,13.3,143
intensity,72,pipe,132,10,13.2,142
accents,72,doles,132,10,13.2,142
tannin,104,further,184,14,13.14285714,198
easygoing,72,chopped,131,10,13.1,141
make,236,estate,419,32,13.09375,451
diluted,71,beauty,130,10,13,140
lemony,127,serious,232,18,12.88888889,250
syrup,70,elegantly,127,10,12.7,137
through,284,generous,505,40,12.625,545
drying,69,waves,126,10,12.6,136
drinkable,68,highlights,125,10,12.5,135
structured,67,petals,123,10,12.3,133
richness,128,balsamic,233,19,12.26315789,252
feels,739,great,1208,99,12.2020202,1307
deep,67,2015,122,10,12.2,132
take,66,alluring,120,10,12,130
bean,66,2024,120,10,12,130
resin,65,8,119,10,11.9,129
away,65,lengthy,119,10,11.9,129
petit,65,tension,119,10,11.9,129
expression,64,slate,118,10,11.8,128
meat,63,exceptional,115,10,11.5,125
valley,62,deliciously,114,10,11.4,124
racy,62,2022,114,10,11.4,124
midpalate,62,developing,114,10,11.4,124
structure,328,minerality,578,51,11.33333333,629
first,113,pomegranate,204,18,11.33333333,222
never,61,cardamom,113,10,11.3,123
apples,108,framed,191,17,11.23529412,208
who,61,wound,112,10,11.2,122
interesting,61,his,112,10,11.2,122
ros,272,pure,473,43,11,516
skins,78,cake,142,13,10.92307692,155
dishes,59,fennel,109,10,10.9,119
char,59,incredibly,109,10,10.9,119
months,59,long-term,109,10,10.9,119
onto,58,stony,109,10,10.9,119
hay,58,emerge,108,10,10.8,118
bite,58,impressively,107,10,10.7,117
pale,57,champagne,107,10,10.7,117
currant,347,crushed,606,57,10.63157895,663
astringency,57,notions,106,10,10.6,116
anise,70,pencil,127,12,10.58333333,139
year,57,evolve,105,10,10.5,115
terms,57,2030,105,10,10.5,115
crushed,57,bay,105,10,10.5,115
spice,737,age,1206,115,10.48695652,1321
winery,56,densely,104,10,10.4,114
age,115,density,206,20,10.3,226
accented,56,tilled,103,10,10.3,113
enjoy,55,brilliant,102,10,10.2,112
:,85,nutmeg,151,15,10.06666667,166
pineapple,395,bottling,653,65,10.04615385,718
burgers,54,energy,100,10,10,110
typical,54,nuanced,100,10,10,110
help,53,absolutely,100,10,10,110
10,53,promises,99,10,9.9,109
drunk,53,compote,99,10,9.9,109
scratchy,106,floor,188,19,9.894736842,207
still,194,vibrant,356,36,9.888888889,392
medium,227,elegance,395,40,9.875,435
tar,52,iron,98,10,9.8,108
drinks,52,cellaring,98,10,9.8,108
element,69,continue,127,13,9.769230769,140
nothing,93,firmly,166,17,9.764705882,183
cedar,104,sandalwood,184,19,9.684210526,203
stewed,112,napa,201,21,9.571428571,222
herb,248,lush,439,46,9.543478261,485
meaty,51,penetrating,95,10,9.5,105
dominates,51,continues,95,10,9.5,105
tartness,51,botrytis,95,10,9.5,105
whiff,51,immense,95,10,9.5,105
extremely,50,brunello,94,10,9.4,104
regular,49,block,93,10,9.3,103
limited,49,2023,93,10,9.3,103
volatile,49,premier,93,10,9.3,103
grassy,175,classic,313,34,9.205882353,347
fun,49,rosemary,92,10,9.2,102
weak,48,stylish,92,10,9.2,102
grilled,92,several,164,18,9.111111111,182
direct,48,2028,91,10,9.1,101
strongly,48,single,91,10,9.1,101
cooked,47,2021,90,10,9,100
reduced,47,2024,90,10,9,100
smell,47,dramatic,90,10,9,100
chemical,47,maturity,90,10,9,100
french,47,slender,90,10,9,100
tone,47,framework,90,10,9,100
silky,120,espresso,215,24,8.958333333,239
strained,46,ground,89,10,8.9,99
port,46,tremendous,88,10,8.8,98
lush,46,elderberry,88,10,8.8,98
prosecco,46,among,88,10,8.8,98
lack,102,plush,183,21,8.714285714,204
sulfur,45,tense,87,10,8.7,97
strawberries,45,sophisticated,87,10,8.7,97
unfocused,45,outstanding,87,10,8.7,97
immediately,45,seamless,87,10,8.7,97
blueberry,122,2017,217,25,8.68,242
was,120,2017,217,25,8.68,242
region,44,built,86,10,8.6,96
an,1428,rich,2589,304,8.516447368,2893
mix,139,blue,246,29,8.482758621,275
everyday,192,packed,356,42,8.476190476,398
mark,89,huge,159,19,8.368421053,178
use,43,winemaking,83,10,8.3,93
?,490,intense,823,100,8.23,923
those,107,smoked,189,23,8.217391304,212
sugared,42,cuv,82,10,8.2,92
bubbles,42,parcel,82,10,8.2,92
lot,138,supple,245,30,8.166666667,275
after,88,sourced,155,19,8.157894737,174
fare,67,minerals,122,15,8.133333333,137
weird,41,sites,81,10,8.1,91
moscato,41,amazing,81,10,8.1,91
100,66,deeply,121,15,8.066666667,136
edge,304,deep,539,67,8.044776119,606
barely,104,perfect,185,23,8.043478261,208
sangiovese,80,lifted,144,18,8,162
cherry-berry,41,blueberries,80,10,8,90
grapy,41,youthfully,80,10,8,90
air,41,ageworthy,80,10,8,90
buttery,93,de,166,21,7.904761905,187
mulchy,41,rock,79,10,7.9,89
soupy,50,satisfying,94,12,7.833333333,106
rose,64,within,117,15,7.8,132
due,41,thanks,78,10,7.8,88
choice,41,opulence,78,10,7.8,88
ample,41,tiny,78,10,7.8,88
syrupy,118,5,210,27,7.777777778,237
caramelized,54,cr,101,13,7.769230769,114
bad,88,against,155,20,7.75,175
underripe,116,finesse,209,27,7.740740741,236
grass,83,perfectly,147,19,7.736842105,166
;,280,rose,493,64,7.703125,557
prunes,40,sagebrush,77,10,7.7,87
maybe,40,decadent,77,10,7.7,87
elegance,40,luxurious,77,10,7.7,87
score,40,precise,77,10,7.7,87
soda,40,decades,77,10,7.7,87
provide,40,near,77,10,7.7,87
vineyard,67,complete,122,16,7.625,138
smells,382,complexity,646,85,7.6,731
add,40,enormous,76,10,7.6,86
approachable,40,shines,76,10,7.6,86
dominant,57,ever,106,14,7.571428571,120
tangerine,99,e,174,23,7.565217391,197
tannic,589,aging,960,127,7.559055118,1087
been,85,loaded,151,20,7.55,171
being,61,named,113,15,7.533333333,128
cab,169,provide,301,40,7.525,341
raisin,155,forest,283,38,7.447368421,321
gooseberry,59,three,111,15,7.4,126
lingering,39,crafted,74,10,7.4,84
such,39,muscular,74,10,7.4,84
inviting,38,iris,74,10,7.4,84
ultimately,38,hill,74,10,7.4,84
crispness,64,nuances,118,16,7.375,134
rest,38,douro,73,10,7.3,83
offset,38,textural,73,10,7.3,83
chocolaty,38,utterly,73,10,7.3,83
concentrated,55,heart,102,14,7.285714286,116
lemon,470,mineral,794,109,7.28440367,903
offer,74,intriguing,138,19,7.263157895,157
get,154,lingering,283,39,7.256410256,322
grapes,175,bold,312,43,7.255813953,355
pepper,468,should,780,108,7.222222222,888
reminiscent,38,powerfully,72,10,7.2,82
italian,38,2015,72,10,7.2,82
water,37,2009,72,10,7.2,82
gold,37,nebbiolo,72,10,7.2,82
oddly,37,shine,72,10,7.2,82
metallic,37,mulberry,72,10,7.2,82
raisiny,140,produced,251,35,7.171428571,286
sip,44,2012,86,12,7.166666667,98
personality,37,velvet,71,10,7.1,81
blossom,37,chalk,71,10,7.1,81
40,37,2027,71,10,7.1,81
asparagus,84,stage,148,21,7.047619048,169
prickly,57,3,105,15,7,120
surprisingly,53,linger,98,14,7,112
tongue,36,flinty,70,10,7,80
adequate,36,l,70,10,7,80
tastes,858,firm,1343,192,6.994791667,1535
fruitiness,144,length,258,37,6.972972973,295
heat,140,hold,251,36,6.972222222,287
tough,201,exotic,369,53,6.962264151,422
version,36,voluptuous,69,10,6.9,79
prime,36,2026,69,10,6.9,79
follows,36,delivering,69,10,6.9,79
common,36,hills,69,10,6.9,79
brown,68,ginger,124,18,6.888888889,142
butter,64,modern,117,17,6.882352941,134
one-dimensional,71,mouthwatering,130,19,6.842105263,149
flabby,92,family,164,24,6.833333333,188
delivers,96,five,170,25,6.8,195
say,35,ethereal,68,10,6.8,78
definition,35,attention,68,10,6.8,78
mourv,58,four,108,16,6.75,124
opening,35,soy,67,10,6.7,77
upfront,35,2021,67,10,6.7,77
power,35,ch,67,10,6.7,77
limes,35,terrific,67,10,6.7,77
amount,41,become,80,12,6.666666667,92
likely,61,promise,113,17,6.647058824,130
style,276,glass,477,72,6.625,549
left,34,hibiscus,66,10,6.6,76
line,34,eight,66,10,6.6,76
lost,34,unctuous,66,10,6.6,76
runs,34,sleek,66,10,6.6,76
nuts,34,peak,66,10,6.6,76
extra,34,seamlessly,66,10,6.6,76
bread,34,mediterranean,66,10,6.6,76
combine,34,pinots,66,10,6.6,76
interest,34,2014,66,10,6.6,76
milk,81,future,145,22,6.590909091,167
friendly,57,meet,105,16,6.5625,121
hard,441,cassis,741,113,6.557522124,854
wide,34,streaks,65,10,6.5,75
minerally,34,sumptuous,65,10,6.5,75
mustard,33,equal,65,10,6.5,75
vinegar,33,fabulous,65,10,6.5,75
faint,63,play,116,18,6.444444444,134
blackberry,579,yet,927,144,6.4375,1071
round,197,winery,359,56,6.410714286,415
brisk,115,appellation,205,32,6.40625,237
powder,33,rocks,64,10,6.4,74
fades,33,2035,64,10,6.4,74
high-toned,33,hugely,64,10,6.4,74
equally,33,exquisite,64,10,6.4,74
small,33,harmonious,64,10,6.4,74
porty,62,release,115,18,6.388888889,133
only,232,already,402,63,6.380952381,465
does,452,new,758,119,6.369747899,877
'll,66,combines,121,19,6.368421053,140
leads,66,easily,121,19,6.368421053,140
touch,588,licorice,952,150,6.346666667,1102
as,1142,through,1795,284,6.320422535,2079
remain,33,exciting,63,10,6.3,73
feline,32,bursting,63,10,6.3,73
ca,32,gorgeously,63,10,6.3,73
barbera,32,finest,63,10,6.3,73
helps,32,impeccable,63,10,6.3,73
flowers,96,steely,170,27,6.296296296,197
tired,57,each,107,17,6.294117647,124
baked,250,anise,440,70,6.285714286,510
not,1179,dark,1854,295,6.284745763,2149
because,49,2010,94,15,6.266666667,109
more,641,balanced,1022,164,6.231707317,1186
mineral,109,another,193,31,6.225806452,224
holds,32,array,62,10,6.2,72
gew,32,retains,62,10,6.2,72
attractively,32,detailed,62,10,6.2,72
horsey,32,2013,62,10,6.2,72
polish,31,oldest,62,10,6.2,72
leaf,67,restrained,123,20,6.15,143
along,308,after,540,88,6.136363636,628
pineapples,87,boysenberry,153,25,6.12,178
characteristics,31,lavish,61,10,6.1,71
pruny,31,primary,61,10,6.1,71
american,31,memorable,61,10,6.1,71
nature,31,crunchy,61,10,6.1,71
drawing,31,mandarin,61,10,6.1,71
completely,31,impresses,61,10,6.1,71
bears,31,br,61,10,6.1,71
beef,38,la,73,12,6.083333333,85
made,339,concentration,602,99,6.080808081,701
mouthfeel,490,time,833,137,6.080291971,970
whole,55,me,103,17,6.058823529,120
grabby,124,sage,224,37,6.054054054,261
could,148,sip,265,44,6.022727273,309
followed,176,10,319,53,6.018867925,372
sour,455,richness,770,128,6.015625,898
pungent,51,sea,96,16,6,112
intensely,31,historic,60,10,6,70
clampy,31,property,60,10,6,70
coconut,31,terroir,60,10,6,70
suggestions,31,complexities,60,10,6,70
fans,31,poise,60,10,6,70
weighty,31,vein,60,10,6,70
no,264,depth,461,77,5.987012987,538
riesling,94,these,167,28,5.964285714,195
down,135,producer,238,40,5.95,278
ends,37,cigar,71,12,5.916666667,83
canned,64,frame,118,20,5.9,138
turning,30,7,59,10,5.9,69
aromatics,30,fudge,59,10,5.9,69
misses,30,santa,59,10,5.9,69
curious,30,2,59,10,5.9,69
appears,30,mirabelle,59,10,5.9,69
blush,30,exuberant,59,10,5.9,69
shape,30,nuance,59,10,5.9,69
superripe,30,crus,59,10,5.9,69
tire,30,poised,59,10,5.9,69
considerable,30,lithe,58,10,5.8,68
clarity,29,owned,58,10,5.8,68
when,29,distinctive,58,10,5.8,68
salad,29,class,58,10,5.8,68
fails,29,bringing,58,10,5.8,68
announce,29,age-worthy,58,10,5.8,68
purple,36,allspice,69,12,5.75,81
chilled,36,meld,69,12,5.75,81
fading,44,river,86,15,5.733333333,101
else,55,every,103,18,5.722222222,121
county,29,peppercorns,57,10,5.7,67
always,29,well-integrated,57,10,5.7,67
relatively,29,flint,57,10,5.7,67
sheer,29,held,57,10,5.7,67
similarly,29,fascinating,57,10,5.7,67
blue,29,explodes,57,10,5.7,67
popular,29,precision,57,10,5.7,67
improve,28,2026,57,10,5.7,67
long,68,eucalyptus,125,22,5.681818182,147
overly,100,intensely,176,31,5.677419355,207
under,35,streamlined,68,12,5.666666667,80
're,51,salt,96,17,5.647058824,113
rich,304,delivers,539,96,5.614583333,635
cold,28,force,56,10,5.6,66
cassis,113,purple,201,36,5.583333333,237
dessert,101,certainly,178,32,5.5625,210
red-berry,88,last,155,28,5.535714286,183
provides,43,supported,83,15,5.533333333,98
hardly,28,shavings,55,10,5.5,65
whiffs,28,lip-smacking,55,10,5.5,65
distinct,28,promising,55,10,5.5,65
country-style,28,woodland,55,10,5.5,65
rise,28,powered,55,10,5.5,65
youthful,28,swathes,55,10,5.5,65
plummy,28,important,55,10,5.5,65
center,28,delicately,55,10,5.5,65
hickory,28,flashy,55,10,5.5,65
soon,42,meyer,82,15,5.466666667,97
simply,45,additional,87,16,5.4375,103
barbecue,62,petal,114,21,5.428571429,135
compact,28,potpourri,54,10,5.4,64
jasmine,28,defines,54,10,5.4,64
damp,27,swirl,54,10,5.4,64
pith,27,remarkable,54,10,5.4,64
finesse,27,gravel,54,10,5.4,64
organic,27,92-94,54,10,5.4,64
carmen,27,dazzling,54,10,5.4,64
go,86,pine,151,28,5.392857143,179
lightly,266,spices,462,86,5.372093023,548
best,163,textured,295,55,5.363636364,350
fine,180,valley,332,62,5.35483871,394
?,2648,black,3656,686,5.329446064,4342
briary,44,laced,85,16,5.3125,101
bold,43,linear,85,16,5.3125,101
gum,43,grace,85,16,5.3125,101
oaky,322,core,568,107,5.308411215,675
lemon-lime,36,potent,69,13,5.307692308,82
TRUE,27,black-skinned,53,10,5.3,63
15,27,truly,53,10,5.3,63
pit,27,extended,53,10,5.3,63
50,27,irresistible,53,10,5.3,63
everything,27,enhanced,53,10,5.3,63
freshly,27,teau,53,10,5.3,63
zest,103,menthol,184,35,5.257142857,219
honeydew,35,nervy,68,13,5.230769231,81
difficult,50,peppercorn,94,18,5.222222222,112
sort,50,liqueur,94,18,5.222222222,112
bitterness,208,intensity,375,72,5.208333333,447
5,27,develops,52,10,5.2,62
steely,27,lasts,52,10,5.2,62
nut,27,deliciousness,52,10,5.2,62
wash,27,estate-grown,52,10,5.2,62
framing,26,clone,52,10,5.2,62
charm,26,decant,52,10,5.2,62
molasses,26,pristine,52,10,5.2,62
brut,26,joy,52,10,5.2,62
verdejo,26,brightness,52,10,5.2,62
half,26,extraordinary,52,10,5.2,62
lees,26,spectacular,52,10,5.2,62
red,1380,?,2547,490,5.197959184,3037
mouth,626,still,1000,194,5.154639175,1194
up,564,fine,923,180,5.127777778,1103
together,67,selection,123,24,5.125,147
pyrazines,26,fill,51,10,5.1,61
pleasure,26,ahead,51,10,5.1,61
applesauce,26,woven,51,10,5.1,61
day,26,begin,51,10,5.1,61
initial,26,fragrance,51,10,5.1,61
particularly,26,moreish,51,10,5.1,61
latex,26,appetizing,51,10,5.1,61
present,26,unwind,51,10,5.1,61
peachy,26,lightness,51,10,5.1,61
initially,26,94,51,10,5.1,61
cheeses,26,enormously,51,10,5.1,61
length,37,2007,71,14,5.071428571,85
anywhere,41,above,81,16,5.0625,97
pithy,183,together,337,67,5.029850746,404
no-fuss,26,blending,50,10,5,60
borderline,25,decanting,50,10,5,60
piercing,25,impeccably,50,10,5,60
vintages,25,plays,50,10,5,60
boysenberry,25,2032,50,10,5,60
stone-fruit,25,loam,50,10,5,60
disjointed,65,asian,119,24,4.958333333,143
bottling,65,wait,119,24,4.958333333,143
jumbled,39,unfold,74,15,4.933333333,89
rubber,127,french,231,47,4.914893617,278
cheese,56,how,103,21,4.904761905,124
fig,25,fantastic,49,10,4.9,59
tonic,25,substantial,49,10,4.9,59
2017,25,incense,49,10,4.9,59
frankly,24,olives,49,10,4.9,59
twice,24,marasca,49,10,4.9,59
innocuous,24,extraordinarily,49,10,4.9,59
extreme,24,thoroughly,49,10,4.9,59
angular,72,15,132,27,4.888888889,159
note,470,vintage,786,162,4.851851852,948
lifesaver,32,rare,63,13,4.846153846,76
citrusy,139,whiff,247,51,4.843137255,298
backed,66,fig,121,25,4.84,146
raw,236,bottle,428,89,4.808988764,517
blended,51,reveals,96,20,4.8,116
inexpensive,37,vivid,72,15,4.8,87
cases,24,allowing,48,10,4.8,58
wayward,24,classically,48,10,4.8,58
affordable,24,seven,48,10,4.8,58
chinese,24,clearly,48,10,4.8,58
family,24,development,48,10,4.8,58
nettle,24,seriously,48,10,4.8,58
petrol,24,c,48,10,4.8,58
stand,24,well-balanced,48,10,4.8,58
control,24,brioche,48,10,4.8,58
where,73,improve,134,28,4.785714286,162
dried,266,alongside,464,97,4.783505155,561
minty,196,many,358,75,4.773333333,433
out,464,best,778,163,4.773006135,941
sharpness,32,balances,62,13,4.769230769,75
looking,28,atop,57,12,4.75,69
ready,330,cinnamon,586,124,4.725806452,710
broad,74,always,137,29,4.724137931,166
point,76,2016,141,30,4.7,171
towards,24,2033,47,10,4.7,57
whose,24,washington,47,10,4.7,57
wait,24,hours,47,10,4.7,57
selection,24,chardonnays,47,10,4.7,57
signs,24,gracefully,47,10,4.7,57
flavorful,24,dazzles,47,10,4.7,57
found,23,energetic,47,10,4.7,57
sourness,23,blancs,47,10,4.7,57
base,23,morello,47,10,4.7,57
ne-style,23,2027,47,10,4.7,57
70,23,stellar,47,10,4.7,57
bubble,23,2031,47,10,4.7,57
punch,23,riserva,47,10,4.7,57
leafy,144,aged,263,56,4.696428571,319
candy,234,barrel,407,87,4.67816092,494
sparkling,99,their,173,37,4.675675676,210
finishes,392,young,649,139,4.669064748,788
pressed,39,inky,74,16,4.625,90
clove,138,top,245,53,4.622641509,298
definitely,36,coastal,69,15,4.6,84
i,23,cracked,46,10,4.6,56
displays,23,explosive,46,10,4.6,56
people,23,farmed,46,10,4.6,56
coarse,23,combining,46,10,4.6,56
puckering,23,graceful,46,10,4.6,56
pronounced,23,amazingly,46,10,4.6,56
alongside,97,need,170,37,4.594594595,207
bodied,142,sense,256,56,4.571428571,312
cinnamon,124,between,223,49,4.551020408,272
seem,168,100,300,66,4.545454545,366
lighter,30,almonds,59,13,4.538461538,72
without,155,meat,284,63,4.507936508,347
pears,64,grown,117,26,4.5,143
becomes,27,youth,54,12,4.5,66
smoked,23,gingerbread,45,10,4.5,55
assertive,23,bursts,45,10,4.5,55
south,23,released,45,10,4.5,55
backdrop,23,magnificent,45,10,4.5,55
bar,23,revealing,45,10,4.5,55
effervescence,23,generosity,45,10,4.5,55
includes,23,marzipan,45,10,4.5,55
dose,23,cabernets,45,10,4.5,55
layered,23,immensely,45,10,4.5,55
detracts,23,radiant,45,10,4.5,55
although,199,most,363,81,4.481481481,444
flat,357,wild,626,141,4.439716312,767
rh,49,reserve,93,21,4.428571429,114
sensations,32,lends,62,14,4.428571429,76
matchstick,27,drive,53,12,4.416666667,65
maple,23,te,44,10,4.4,54
juiciness,23,classy,44,10,4.4,54
e,23,soils,44,10,4.4,54
touched,23,burgundy,44,10,4.4,54
gamy,22,packs,44,10,4.4,54
unoaked,22,clones,44,10,4.4,54
black-cherry,22,darker,44,10,4.4,54
healthy,22,chamomile,44,10,4.4,54
bubblegum,22,since,44,10,4.4,54
sweet-and-sour,22,wealth,44,10,4.4,54
's,3692,from,5112,1163,4.395528805,6275
rustic,345,clove,605,138,4.384057971,743
high,358,savory,630,144,4.375,774
meats,43,richer,83,19,4.368421053,102
gaseous,38,including,74,17,4.352941176,91
decent,177,mature,321,74,4.337837838,395
blast,33,mousse,65,15,4.333333333,80
grapey,33,world,65,15,4.333333333,80
things,66,youthful,121,28,4.321428571,149
apple,914,will,1515,351,4.316239316,1866
red-plum,22,remarkably,43,10,4.3,53
lodi,22,creek,43,10,4.3,53
characteristic,22,ages,43,10,4.3,53
deals,22,moist,43,10,4.3,53
o.k,22,beguiling,43,10,4.3,53
60,22,toastiness,43,10,4.3,53
dust,22,famous,43,10,4.3,53
trace,22,having,43,10,4.3,53
layer,22,long-lasting,43,10,4.3,53
surface,22,ranch,43,10,4.3,53
steak,22,harmony,43,10,4.3,53
prior,22,expertly,43,10,4.3,53
bell,90,blossom,159,37,4.297297297,196
game,40,keeping,77,18,4.277777778,95
pinot,438,freshness,736,173,4.25433526,909
softly,55,longer,102,24,4.25,126
robust,36,persistent,68,16,4.25,84
asphalt,35,hearty,68,16,4.25,84
wo,35,loads,68,16,4.25,84
time,137,year,241,57,4.228070175,298
full,319,full-bodied,566,134,4.223880597,700
serve,30,2008,59,14,4.214285714,73
burst,22,clear,42,10,4.2,52
future,22,standout,42,10,4.2,52
cured,22,lilac,42,10,4.2,52
until,22,parcels,42,10,4.2,52
musky,22,strength,42,10,4.2,52
fortunately,22,saffron,42,10,4.2,52
vineyards,21,gain,42,10,4.2,52
juniper,21,detail,42,10,4.2,52
characterize,21,oregon,42,10,4.2,52
appearance,21,details,42,10,4.2,52
fragrant,59,barrels,109,26,4.192307692,135
edges,46,experience,88,21,4.19047619,109
fresh,861,structure,1369,328,4.173780488,1697
torront,31,providing,62,15,4.133333333,77
minerality,51,assertive,95,23,4.130434783,118
early,34,cool-climate,66,16,4.125,82
two,73,small,136,33,4.121212121,169
try,39,adding,74,18,4.111111111,92
viscous,21,showcases,41,10,4.1,51
means,21,2029,41,10,4.1,51
napa,21,generously,41,10,4.1,51
expected,21,success,41,10,4.1,51
sits,21,scorched,41,10,4.1,51
saline,21,sprightly,41,10,4.1,51
evident,21,lineup,41,10,4.1,51
cut,110,plums,199,49,4.06122449,248
feel,532,one,908,225,4.035555556,1133
compost,54,grippy,100,25,4,125
wrapped,40,range,76,19,4,95
extract,27,turned,52,13,4,65
example,26,verve,52,13,4,65
grainy,21,speaks,40,10,4,50
monotone,21,ageability,40,10,4,50
chewing,21,bottlings,40,10,4,50
clunky,21,sanguine,40,10,4,50
distant,21,iconic,40,10,4,50
petal,21,dark-skinned,40,10,4,50
cuisine,21,alpine,40,10,4,50
stage,21,releases,40,10,4,50
excessive,20,oakville,40,10,4,50
ripened,20,glorious,40,10,4,50
unfortunately,20,tempting,40,10,4,50
choppy,86,beef,151,38,3.973684211,189
franc,128,fragrant,234,59,3.966101695,293
anything,39,2011,75,19,3.947368421,94
ham,35,root,67,17,3.941176471,84
austere,88,boasts,157,40,3.925,197
bracing,26,components,51,13,3.923076923,64
alcohol,407,tobacco,725,185,3.918918919,910
smoky,243,both,431,110,3.918181818,541
light-,20,reduction,39,10,3.9,49
punchy,20,rutherford,39,10,3.9,49
pop,20,supportive,39,10,3.9,49
bulky,20,hands,39,10,3.9,49
creates,20,zestiness,39,10,3.9,49
basically,20,blossoms,39,10,3.9,49
got,20,brawny,39,10,3.9,49
wax,20,wood-aged,39,10,3.9,49
density,20,balsam,39,10,3.9,49
central,20,effortlessly,39,10,3.9,49
restrained,20,proportion,39,10,3.9,49
certain,20,flagship,39,10,3.9,49
frame,20,2040,39,10,3.9,49
herbs,234,yellow,405,104,3.894230769,509
raisins,89,lift,159,41,3.87804878,200
reedy,29,25,58,15,3.866666667,73
lactic,44,layer,85,22,3.863636364,107
clean,449,leather,745,193,3.860103627,938
aftertaste,232,cedar,401,104,3.855769231,505
noir,223,mocha,393,102,3.852941176,495
jelly,40,worth,77,20,3.85,97
thing,33,parts,65,17,3.823529412,82
20,43,black-cherry,84,22,3.818181818,106
pizza,56,everything,103,27,3.814814815,130
form,31,coast,61,16,3.8125,77
blends,20,series,38,10,3.8,48
rudimentary,20,enjoyed,38,10,3.8,48
riper,20,sultry,38,10,3.8,48
reveals,20,explosion,38,10,3.8,48
sonoma,20,state,38,10,3.8,48
stale,19,powerhouse,38,10,3.8,48
stick,19,reward,38,10,3.8,48
sweetened,19,possibly,38,10,3.8,48
salinic,19,remaining,38,10,3.8,48
love,19,umami,38,10,3.8,48
greens,19,dynamic,38,10,3.8,48
underdeveloped,19,2028,38,10,3.8,48
sweeter,19,project,38,10,3.8,48
beginning,19,notion,38,10,3.8,48
benefit,19,ways,38,10,3.8,48
2011,19,exceptionally,38,10,3.8,48
barnyard,86,add,151,40,3.775,191
suggests,71,extra,128,34,3.764705882,162
nearly,33,second,64,17,3.764705882,81
party,31,known,60,16,3.75,76
overripe,228,needs,397,106,3.745283019,503
standard,60,considerable,112,30,3.733333333,142
